dataset,f_0,m_val,eo_val_0,eo_val_1,overall_eo_val
adult,protected,50,1.0,1.0,1.0
adult,protected,100,1.0,1.0,1.0
adult,protected,150,1.0,1.0,1.0
adult,protected,200,1.0,1.0,1.0
adult,protected,250,1.0,1.0,1.0
adult,protected,300,1.0,1.0,1.0
adult,protected,350,1.0,1.0,1.0
adult,protected,400,1.0,1.0,1.0
adult,protected,450,1.0,1.0,1.0
adult,protected,500,1.0,1.0,1.0
adult,protected,550,1.0,1.0,1.0
adult,protected,600,1.0,1.0,1.0
adult,protected,650,1.0,1.0,1.0
adult,protected,700,1.0,1.0,1.0
adult,protected,750,1.0,1.0,1.0
adult,protected,800,1.0,1.0,1.0
adult,protected,850,1.0,1.0,1.0
adult,protected,900,1.0,1.0,1.0
adult,protected,950,1.0,1.0,1.0
adult,protected,1000,1.0,1.0,1.0
adult,protected,1050,1.0,1.0,1.0
adult,protected,1100,1.0,1.0,1.0
adult,protected,1150,1.0,1.0,1.0
adult,protected,1200,1.0,1.0,1.0
adult,protected,1250,1.0,1.0,1.0
adult,protected,1300,1.0,1.0,1.0
adult,protected,1350,1.0,1.0,1.0
adult,protected,1400,1.0,1.0,1.0
adult,protected,1450,1.0,1.0,1.0
adult,protected,1500,1.0,1.0,1.0
adult,protected,1550,1.0,1.0,1.0
adult,protected,1600,1.0,1.0,1.0
adult,protected,1650,1.0,1.0,1.0
adult,protected,1700,1.0,1.0,1.0
adult,protected,1750,1.0,1.0,1.0
adult,protected,1800,1.0,1.0,1.0
adult,protected,1850,1.0,1.0,1.0
adult,protected,1900,1.0,1.0,1.0
adult,protected,1950,1.0,1.0,1.0
adult,protected,2000,1.0,1.0,1.0
adult,protected,2050,1.0,1.0,1.0
adult,protected,2100,1.0,1.0,1.0
adult,protected,2150,1.0,1.0,1.0
adult,protected,2200,1.0,1.0,1.0
adult,protected,2250,1.0,1.0,1.0
adult,protected,2300,1.0,1.0,1.0
adult,protected,2350,1.0,1.0,1.0
adult,protected,2400,1.0,1.0,1.0
adult,protected,2450,1.0,1.0,1.0
adult,protected,2500,1.0,1.0,1.0
adult,protected,2550,1.0,1.0,1.0
adult,protected,2600,1.0,1.0,1.0
adult,protected,2650,1.0,1.0,1.0
adult,protected,2700,1.0,1.0,1.0
adult,protected,2750,1.0,1.0,1.0
adult,protected,2800,1.0,1.0,1.0
adult,protected,2850,1.0,1.0,1.0
adult,protected,2900,1.0,1.0,1.0
adult,protected,2950,1.0,1.0,1.0
adult,protected,3000,1.0,1.0,1.0
adult,protected,3050,1.0,1.0,1.0
adult,protected,3100,1.0,1.0,1.0
adult,protected,3150,1.0,1.0,1.0
adult,protected,3200,1.0,1.0,1.0
adult,protected,3250,1.0,1.0,1.0
adult,protected,3250,1.0,1.0,1.0
